sample,Tannin,Phenol,Flavonoid,Antioxidant,Seed_Length,Seed_Width,Seed_Thickness,Mass_of_Seeds,Seed_Coat_Tannin,Crude_Protein,Total_Oxalate,Soluble_Oxalate,Insoluble_Oxalate,merit_index,merit_index_n_traits
TSs157A,-1.6125,5.3314,-0.6052,1.4862,0.0411,-0.0111,0.0021,0.0006,7.218,1.5176,,,,0.9305213446216616,7
TSs282,4.1601,15.2932,1.1889,15.4691,-0.0092,-0.0225,-0.021,-0.005,-9.2301,0.2596,,,,0.7666593610347564,7
TSs38,-6.4321,0.3085,2.2516,3.9478,0.0152,-0.0189,-0.0046,0.0008,-14.4593,0.0183,,,,0.667292607147023,7
TSs22A,-10.7274,4.3878,2.966,8.2037,-0.0239,-0.0415,-0.0577,-0.0047,-5.9885,0.0986,,,,0.644285011355935,7
TSs49,-11.4469,1.2654,3.4049,2.7805,0.0028,-0.0246,-0.0518,-0.0028,-4.0236,0.2328,,,,0.6379854509766395,7
TSs68,-8.6779,9.685,0.4298,7.8063,-0.0221,-0.0222,-0.0203,-0.0038,-14.9564,0.0493,,,,0.6367903172543949,7
TSs334,-9.2464,10.8949,0.2776,2.1467,0.0387,0.0029,-0.0072,0.0017,6.5286,0.1098,,,,0.5433150085603335,7
TSs10A,1.3809,7.3939,1.0483,7.9555,0.0073,-0.0093,-0.0192,-0.0019,-2.9819,0.2635,,,,0.5203729113888261,7
TSs297,-13.7693,23.7818,4.3415,10.0974,0.023,-0.0246,-0.0397,-0.0023,6.5531,0.0563,-0.0734,15.2849,-15.3583,0.4949484569808595,10
TSs59B,-2.7894,5.5785,1.1188,7.5143,-0.0161,-0.0193,-0.0207,-0.0035,-5.3169,0.2514,,,,0.49219826821868934,7
TSs333,-11.7416,-2.1482,0.0536,-0.05,0.0167,0.0064,-0.0082,0.0011,-8.3332,0.1142,,,,0.4054763580821198,7
TSs53,10.484,1.0493,2.832,5.359,0.0235,0.0059,-0.0054,0.0004,-10.7913,0.0269,,,,0.3980903517830333,7
TSs368,-3.8735,6.8313,1.8438,4.8395,0.0142,-0.0061,-0.0097,-0.0009,3.7173,-0.0299,,,,0.38402010541353826,7
TSs22B,-0.6684,3.8443,2.7894,7.1549,-0.0262,-0.0216,-0.0379,-0.0044,-5.0266,0.0387,,,,0.37768832808493585,7
TSs325,-10.8661,-7.6078,-1.0948,-4.6417,0.0294,0.0193,-0.0022,0.0032,-17.5196,0.1082,14.0272,-5.6957,19.7229,0.34922149807112557,10
TSs10,-9.9069,3.5162,1.0374,-0.1757,-0.0029,0.0143,0.023,0.0017,-4.0738,0.0787,0.6299,1.7775,-1.1475,0.32961150390728233,10
TSs82,-7.3072,-4.9811,0.0142,1.3324,0.0333,0.0097,0.002,0.0022,-11.6073,-0.0405,,,,0.3103355087467015,7
TSs56A,-6.6612,-1.0932,1.023,-0.4037,0.0352,0.016,0.0009,0.0025,-0.6737,-0.0206,,,,0.3020021542124249,7
TSs296,-3.0967,3.6955,1.2058,7.8121,-0.0405,-0.0287,-0.0319,-0.0044,1.52,0.1679,,,,0.2831352375450411,7
TSs9,-3.982,10.3489,0.4145,6.9634,-0.0027,-0.0164,-0.0158,-0.0027,-8.3632,-0.0471,12.9627,2.4539,10.5088,0.2756303216152893,10
